Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result
142,2016-09-11,September,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
143,2016-09-12,September,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
144,2016-09-13,September,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
145,2016-09-14,September,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
146,2016-09-15,September,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,1
147,2016-09-16,September,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
148,2016-09-17,September,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
149,2016-09-18,September,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
150,2016-09-19,September,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
151,2016-09-20,September,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
152,2016-09-21,September,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
153,2016-09-22,September,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
154,2016-09-23,September,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
155,2016-09-24,September,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
156,2016-09-25,September,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
157,2016-09-27,September,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,0
158,2016-09-28,September,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
159,2016-09-29,September,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0
160,2016-09-30,September,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
161,2016-10-01,October,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
162,2016-10-02,October,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
163,2017-04-03,April,Monday,Boston Red Sox,Pittsburgh Pirates,National League (NL) Central,1
164,2017-04-05,April,Wednesday,Boston Red Sox,Pittsburgh Pirates,National League (NL) Central,1
165,2017-04-07,April,Friday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
166,2017-04-08,April,Saturday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
167,2017-04-09,April,Sunday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
168,2017-04-10,April,Monday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
169,2017-04-11,April,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
170,2017-04-12,April,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
171,2017-04-13,April,Thursday,Boston Red Sox,Pittsburgh Pirates,National League (NL) Central,1
172,2017-04-14,April,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
173,2017-04-15,April,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
174,2017-04-16,April,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
175,2017-04-17,April,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
176,2017-04-18,April,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
177,2017-04-19,April,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
178,2017-04-20,April,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
179,2017-04-21,April,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
180,2017-04-22,April,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
181,2017-04-23,April,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
182,2017-04-26,April,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
183,2017-04-27,April,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0
184,2017-04-28,April,Friday,Boston Red Sox,Chicago Cubs,National League (NL) Central,1
185,2017-04-29,April,Saturday,Boston Red Sox,Chicago Cubs,National League (NL) Central,0
186,2017-04-30,April,Sunday,Boston Red Sox,Chicago Cubs,National League (NL) Central,1
187,2017-05-01,May,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
188,2017-05-02,May,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
189,2017-05-03,May,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
190,2017-05-04,May,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
191,2017-05-05,May,Friday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
192,2017-05-06,May,Saturday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
193,2017-05-07,May,Sunday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
194,2017-05-09,May,Tuesday,Boston Red Sox,Milwaukee Brewers,National League (NL) Central,0
195,2017-05-10,May,Wednesday,Boston Red Sox,Milwaukee Brewers,National League (NL) Central,0
196,2017-05-11,May,Thursday,Boston Red Sox,Milwaukee Brewers,National League (NL) Central,1
197,2017-05-12,May,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
198,2017-05-13,May,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
199,2017-05-14,May,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
200,2017-05-16,May,Tuesday,Boston Red Sox,St. Louis Cardinals,National League (NL) Central,1
201,2017-05-17,May,Wednesday,Boston Red Sox,St. Louis Cardinals,National League (NL) Central,1
202,2017-05-18,May,Thursday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
203,2017-05-19,May,Friday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
204,2017-05-20,May,Saturday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
